threshold,sensitivity,specificity,precision,recall,f1,f2,youden
0.028,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.029,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.03,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.031,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.032,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.033,1.0,0.6805555555555556,0.6461538461538462,1.0,0.7850467289719626,0.9012875536480687,0.6805555555555556
0.034,1.0,0.6944444444444444,0.65625,1.0,0.7924528301886793,0.9051724137931034,0.6944444444444444
0.035,1.0,0.6944444444444444,0.65625,1.0,0.7924528301886793,0.9051724137931034,0.6944444444444444
0.036,1.0,0.6944444444444444,0.65625,1.0,0.7924528301886793,0.9051724137931034,0.6944444444444444
0.037,1.0,0.6944444444444444,0.65625,1.0,0.7924528301886793,0.9051724137931034,0.6944444444444444
0.038,1.0,0.6944444444444444,0.65625,1.0,0.7924528301886793,0.9051724137931034,0.6944444444444444
0.039,1.0,0.6944444444444444,0.65625,1.0,0.7924528301886793,0.9051724137931034,0.6944444444444444
0.04,1.0,0.7083333333333334,0.6666666666666666,1.0,0.8,0.9090909090909091,0.7083333333333335
0.041,1.0,0.7083333333333334,0.6666666666666666,1.0,0.8,0.9090909090909091,0.7083333333333335
0.042,1.0,0.7083333333333334,0.6666666666666666,1.0,0.8,0.9090909090909091,0.7083333333333335
0.043,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.044,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.045,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.046,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.047,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.048,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.049,1.0,0.7361111111111112,0.6885245901639344,1.0,0.8155339805825242,0.9170305676855894,0.7361111111111112
0.05,1.0,0.7638888888888888,0.711864406779661,1.0,0.8316831683168316,0.9251101321585903,0.7638888888888888
0.051,1.0,0.7777777777777778,0.7241379310344828,1.0,0.84,0.9292035398230089,0.7777777777777777
0.052,1.0,0.7916666666666666,0.7368421052631579,1.0,0.8484848484848485,0.9333333333333333,0.7916666666666665
0.053,1.0,0.7916666666666666,0.7368421052631579,1.0,0.8484848484848485,0.9333333333333333,0.7916666666666665
0.054,1.0,0.7916666666666666,0.7368421052631579,1.0,0.8484848484848485,0.9333333333333333,0.7916666666666665
0.055,1.0,0.8055555555555556,0.75,1.0,0.8571428571428571,0.9375,0.8055555555555556
0.056,1.0,0.8194444444444444,0.7636363636363637,1.0,0.865979381443299,0.9417040358744395,0.8194444444444444
0.057,1.0,0.8194444444444444,0.7636363636363637,1.0,0.865979381443299,0.9417040358744395,0.8194444444444444
0.058,1.0,0.8194444444444444,0.7636363636363637,1.0,0.865979381443299,0.9417040358744395,0.8194444444444444
0.059,1.0,0.8194444444444444,0.7636363636363637,1.0,0.865979381443299,0.9417040358744395,0.8194444444444444
0.06,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.061,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.062,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.063,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.064,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.065,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.066,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.067,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.068,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.069,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.07,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.071,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.072,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.073,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.074,1.0,0.8333333333333334,0.7777777777777778,1.0,0.875,0.945945945945946,0.8333333333333335
0.075,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.076,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.077,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.078,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.079,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.08,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.081,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.082,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.083,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.084,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.085,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.086,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.087,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.088,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.089,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
0.09,1.0,0.8472222222222222,0.7924528301886793,1.0,0.8842105263157894,0.9502262443438915,0.8472222222222223
