threshold,sensitivity,specificity,precision,recall,f1,f2,youden
0.38,0.9386489479512734,0.9300469483568076,0.8924336763633416,0.9386489479512734,0.9133492514039983,0.9279350448329794,0.8686958963080811
0.39,0.9386489479512734,0.935641627543036,0.9006392512762336,0.9386489479512734,0.9175892639052636,0.9296730127474179,0.8742905754943096
0.4,0.9386489479512734,0.935641627543036,0.9006392512762336,0.9386489479512734,0.9175892639052636,0.9296730127474179,0.8742905754943096
0.41,0.9386489479512734,0.935641627543036,0.9006392512762336,0.9386489479512734,0.9175892639052636,0.9296730127474179,0.8742905754943096
0.42,0.9386489479512734,0.9412363067292645,0.907709594307063,0.9386489479512734,0.9215994566111085,0.9314114414266209,0.879885254680538
0.43,0.933997785160576,0.9440140845070422,0.9107530209800577,0.933997785160576,0.9210300791881059,0.9284609086962717,0.8780118696676181
0.44,0.933997785160576,0.9496087636932706,0.9195101072487073,0.933997785160576,0.9254159247943772,0.9302232087719245,0.8836065488538466
0.45,0.933997785160576,0.9496087636932706,0.9195101072487073,0.933997785160576,0.9254159247943772,0.9302232087719245,0.8836065488538466
0.46,0.933997785160576,0.9496087636932706,0.9195101072487073,0.933997785160576,0.9254159247943772,0.9302232087719245,0.8836065488538466
0.47,0.933997785160576,0.9523865414710485,0.9231448590217571,0.933997785160576,0.9274633654935032,0.9311060683757144,0.8863843266316243
0.48,0.933997785160576,0.9523865414710485,0.9231448590217571,0.933997785160576,0.9274633654935032,0.9311060683757144,0.8863843266316243
0.49,0.933997785160576,0.9523865414710485,0.9231448590217571,0.933997785160576,0.9274633654935032,0.9311060683757144,0.8863843266316243
0.5,0.9245847176079733,0.9523865414710485,0.9221252413193028,0.9245847176079733,0.9223788311690482,0.9234631085374266,0.8769712590790218
0.51,0.9245847176079733,0.9523865414710485,0.9221252413193028,0.9245847176079733,0.9223788311690482,0.9234631085374266,0.8769712590790218
0.52,0.9245847176079733,0.957942097026604,0.9300303796592237,0.9245847176079733,0.9266071609787734,0.9252264659699782,0.8825268146345774
0.53,0.9245847176079733,0.957942097026604,0.9300303796592237,0.9245847176079733,0.9266071609787734,0.9252264659699782,0.8825268146345774
0.54,0.9245847176079733,0.957942097026604,0.9300303796592237,0.9245847176079733,0.9266071609787734,0.9252264659699782,0.8825268146345774
0.55,0.9245847176079733,0.957942097026604,0.9300303796592237,0.9245847176079733,0.9266071609787734,0.9252264659699782,0.8825268146345774
0.56,0.9245847176079733,0.9607589984350546,0.9345425747811749,0.9245847176079733,0.9287299378003453,0.9260458476689772,0.8853437160430282
0.57,0.9245847176079733,0.9607589984350546,0.9345425747811749,0.9245847176079733,0.9287299378003453,0.9260458476689772,0.8853437160430282
0.58,0.9245847176079733,0.9635758998435054,0.9386005457956678,0.9245847176079733,0.9308749837656161,0.9269336843070357,0.8881606174514788
